"","age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"15043","25-34",85000,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Librarian Department Head"
"15044","25-34",120000,"8 - 10 years","College degree","Man","Computing or Tech","Software Consultant & Engineering Manager"
"15045","25-34",70000,"11 - 20 years","College degree","Woman","Service","Bartender"
"15046","18-24",48000,"1 year or less","College degree","Woman","Marketing, Advertising & PR","Digital Marketing Specialist"
"15047","35-44",51000,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Support Specialist"
"15048","18-24",50000,"2 - 4 years","College degree","Man","Nonprofits","Operations Manager"
"15049","25-34",37000,"5-7 years","Master's degree","Woman","Nonprofits","Archivist"
"15050","25-34",170000,"8 - 10 years","College degree","Man","Computing or Tech","Engineering Manager"
"15051","65 or over",1e+05,"31 - 40 years","PhD","Woman","Education (Higher Education)","Professor"
"15052","25-34",49000,"8 - 10 years","College degree","Woman","Veterinary m&a","Operations Coordinator"
"15053","35-44",79000,"5-7 years","PhD","Woman","Education (Higher Education)","Research Associate"
"15054","45-54",180000,"21 - 30 years","College degree","Man","Computing or Tech","Principal software engineer"
"15055","35-44",68473,"8 - 10 years","College degree","Woman","Recruitment or HR","Human Resources Generalist"
"15056","35-44",85000,"11 - 20 years","College degree","Woman","Manufacturing","Human Resources Business Partner"
"15057","25-34",86000,"8 - 10 years","Master's degree","Man","Engineering or Manufacturing","Senior Financial Operations Analyst"
"15058","35-44",80000,"11 - 20 years","College degree","Woman","Nonprofits","Philanthropy Operations Manager"
"15059","35-44",81000,"11 - 20 years","College degree","Man","Computing or Tech","Web Developer"
"15060","25-34",75000,"5-7 years","Master's degree","Man","Computing or Tech","Information Security Engineer 1"
"15061","55-64",75000,"21 - 30 years","College degree","Woman","Marketing, Advertising & PR","Director"
"15062","25-34",60000,"2 - 4 years","College degree","Woman","Computing or Tech","Customer Success Coordinator"
"15063","25-34",64000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Operations Analyst"
"15064","35-44",162500,"8 - 10 years","Master's degree","Man","Computing or Tech","Software engineer"
"15065","25-34",55000,"8 - 10 years","College degree","Man","Nonprofits","Financial Data Specialist"
"15066","35-44",6209,"11 - 20 years","Master's degree","Woman","Insurance","Senior Research Analyst"
"15067","25-34",36000,"8 - 10 years","Master's degree","Man","Public Library","Public Services Librarian"
"15068","25-34",69000,"8 - 10 years","Master's degree","Man","Government and Public Administration","Project Coordinator"
"15069","18-24",56000,"2 - 4 years","College degree","Woman","Nonprofits","Digital Strategist"
"15070","18-24",64000,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","Account Manager"
"15071","35-44",75000,"11 - 20 years","Master's degree","Woman","Nonprofits","Sr Manager Institutional Giving"
"15072","35-44",165000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Director of Marketing"
"15073","35-44",80000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Development"
"15074","35-44",190000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Creative Director"
"15075","45-54",130000,"21 - 30 years","Master's degree","Woman","Nonprofits","Director congregational engagement and support"
"15076","35-44",56160,"11 - 20 years","College degree","Woman","Health care","Administrative Coordinator"
"15077","45-54",45437,"11 - 20 years","College degree","Woman","Education (Higher Education)","Program Assistant 3"
"15078","35-44",280000,"11 - 20 years","Master's degree","Man","Computing or Tech","Senior Director, Web and Digital"
"15079","35-44",102000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Human Resources Manager"
"15080","25-34",92000,"5-7 years","College degree","Man","Computing or Tech","Software QA Analyst"
"15081","35-44",65000,"5-7 years","College degree","Woman","Computing or Tech","Community Manager"
"15082","35-44",79000,"11 - 20 years","High School","Woman","Recruitment or HR","HR Business Partner"
"15083","25-34",72000,"5-7 years","College degree","Woman","Government and Public Administration","Environmental health scientist"
"15084","45-54",55000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Executive Assistant"
"15085","25-34",95000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","People Operations Manager"
"15086","35-44",102000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Human Resources Manager"
"15087","35-44",189000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Law","Partner"
"15088","25-34",40000,"11 - 20 years","High School","Man","Retail","All Purpose Food Clerk"
"15089","35-44",90000,"11 - 20 years","College degree","Woman","Retail","AGM"
"15090","25-34",58000,"5-7 years","High School","Man","Business or Consulting","Construction Administration"
"15091","25-34",68000,"5-7 years","Master's degree","Woman","Recruitment or HR","Human Resource Manager"
"15092","25-34",85000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Digital Marketing Manager"
"15093","25-34",250000,"2 - 4 years","College degree","Woman","Computing or Tech","SWE"
"15094","25-34",235000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Health care","Associate General Counsel"
"15095","55-64",111300,"31 - 40 years","College degree","Woman","Entertainment","Director Human Resources"
"15096","55-64",97000,"21 - 30 years","Master's degree","Woman","Nonprofits","For of HR"
"15097","25-34",80000,"2 - 4 years","College degree","Woman","Computing or Tech","International Partner Marketing Manager"
"15098","25-34",1e+05,"8 - 10 years","College degree","Woman","Computing or Tech","Team manger, user services"
"15099","35-44",101900,"11 - 20 years","Master's degree","Woman","International Development","Project Manager"
"15100","25-34",49097,"2 - 4 years","Master's degree","Woman","Education (Primary/Secondary)","Math Teacher"
"15101","35-44",68000,"11 - 20 years","College degree","Woman","Health care","Staff RN"
"15102","25-34",1e+05,"2 - 4 years","College degree","Man","Computing or Tech","Software Engineer"
"15103","55-64",78000,"31 - 40 years","College degree","Woman","Utilities & Telecommunications","Employee Development and Training Coordinator"
"15104","25-34",45000,"2 - 4 years","College degree","Woman","Insurance","HR ADMINISTRATOR"
"15105","25-34",41600,"5-7 years","College degree","Woman","Property or Construction","New Agent Development Coordinator"
"15106","25-34",54000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Technical Support Engineer"
"15107","35-44",210000,"11 - 20 years","College degree","Man","Agriculture or Forestry","Director of software engineering"
"15108","25-34",41600,"5-7 years","College degree","Woman","Leisure, Sport & Tourism","Professional Horse Trainer"
"15109","25-34",180000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Software engineer"
"15110","18-24",58500,"5-7 years","College degree","Woman","Retail","E-commerce Specialist"
"15111","25-34",81100,"8 - 10 years","College degree","Woman","Government and Public Administration","Talent Acquisition Supervisor"
"15112","45-54",110000,"31 - 40 years","College degree","Woman","Health care","Application Engineer Lead"
"15113","35-44",160000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Senior UX Designer"
"15114","25-34",83000,"5-7 years","College degree","Woman","Business or Consulting","Senior Strategist"
"15115","45-54",67600,"21 - 30 years","College degree","Woman","Nonprofits","HR Business Partner"
"15116","35-44",85000,"11 - 20 years","College degree","Woman","Transport or Logistics","Director of HR"
"15117","45-54",46000,"11 - 20 years","College degree","Woman","Nonprofits","HR Generalist"
"15118","35-44",85000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Controller"
"15119","35-44",74000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Senior Program Analyst"
"15120","25-34",87460,"8 - 10 years","Master's degree","Woman","environmental compliance/engineering","Environmental engineer"
"15121","35-44",75000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Research Assistant Professor"
"15122","35-44",55,"2 - 4 years","Master's degree","Woman","Recruitment or HR","Talent Acquisition Partner"
"15123","25-34",75000,"5-7 years","College degree","Woman","Recruitment or HR","HR Manager"
"15124","25-34",51797,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Health care","Resident physician"
"15125","25-34",250000,"8 - 10 years","College degree","Man","Computing or Tech","Software Engineer"
"15126","35-44",67000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Marketing, Advertising & PR","Lead Copywriter"
"15127","35-44",177500,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Law","Associate"
"15128","35-44",156000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Engineering or Manufacturing","Business Owner"
"15129","25-34",85000,"5-7 years","Master's degree","Woman","Health care","Marketing Manager"
"15130","25-34",60000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","HR Generalist"
"15131","45-54",99500,"21 - 30 years","Master's degree","Woman","Computing or Tech","Informatics Epidemiologist"
"15132","35-44",109000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Education (Higher Education)","Assistant Director of Institutional Research"
"15133","25-34",92000,"8 - 10 years","Master's degree","Man","Health care","Statistician II"
"15134","45-54",90000,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","HR Director"
"15135","25-34",135000,"5-7 years","PhD","Woman","Computing or Tech","Data scientist"
"15136","25-34",50000,"8 - 10 years","Master's degree","Man","Church","Pastor"
"15137","18-24",34500,"1 year or less","Master's degree","Woman","Education (Higher Education)","Program Coordinator"
"15138","45-54",104000,"21 - 30 years","College degree","Woman","Hospitality & Events","Vice President of Sales and Marketing"
"15139","25-34",1e+05,"5-7 years","College degree","Woman","Engineering or Manufacturing","Safety, Health, & Environmental Manager"
"15140","35-44",146000,"11 - 20 years","Master's degree","Man","Accounting, Banking & Finance","Senior Data architect"
"15141","25-34",120000,"2 - 4 years","PhD","Woman","Pharmaceuticals","Scientist"
"15142","25-34",64000,"2 - 4 years","College degree","Man","Nonprofits","Program Director"
"15143","35-44",64000,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Senior Marketing Specialist"
"15144","25-34",85000,"5-7 years","Master's degree","Woman","Health care","Marketing Manager"
"15145","35-44",101000,"8 - 10 years","Master's degree","Man","Business or Consulting","Associate"
"15146","35-44",120000,"11 - 20 years","College degree","Woman","Leisure, Sport & Tourism","Director of Revenue Management"
"15147","45-54",89000,"11 - 20 years","College degree","Man","Education (Higher Education)","Data Engineer"
"15148","25-34",73000,"8 - 10 years","College degree","Woman","Business or Consulting","Software Licensing Rep"
"15149","35-44",145000,"11 - 20 years","College degree","Man","Computing or Tech","VP of Operations"
"15150","35-44",96000,"8 - 10 years","Master's degree","Woman","Engineering or Manufacturing","Sr. Human Resources Generalisr"
"15151","35-44",166400,"11 - 20 years","College degree","Man","Computing or Tech","Software engineer"
"15152","35-44",122000,"11 - 20 years","Master's degree","Man","Business or Consulting","Strategic Planner"
"15153","25-34",113500,"8 - 10 years","Master's degree","Man","Food & Beverage","Assoc. HR Manager"
"15154","45-54",98500,"31 - 40 years","College degree","Woman","Insurance","Senior application programmer"
"15155","45-54",33280,"8 - 10 years","College degree","Woman","Human services","HR assistant"
"15156","55-64",70000,"31 - 40 years","College degree","Woman","Engineering or Manufacturing","Accounting manager"
"15157","35-44",101000,"8 - 10 years","Master's degree","Man","Business or Consulting","Associate"
"15158","18-24",62000,"2 - 4 years","College degree","Woman","Real estate valuation","Analyst II"
"15159","45-54",267000,"11 - 20 years","Master's degree","Man","Computing or Tech","Information Security Architect"
"15160","25-34",134000,"8 - 10 years","College degree","Man","Computing or Tech","DevOps Engineer"
"15161","25-34",1e+05,"5-7 years","Master's degree","Woman","Government and Public Administration","Sr Financial Planner"
"15162","55-64",56000,"31 - 40 years","College degree","Woman","Law","Legal assistant"
"15163","35-44",125000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Senior Deputy City Attorney"
"15164","25-34",110000,"8 - 10 years","Master's degree","Man","Accounting, Banking & Finance","Senior Credit Officer"
"15165","45-54",110000,"21 - 30 years","College degree","Woman","Retail","HR Manager"
"15166","25-34",86600,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Engineer III"
"15167","45-54",94929,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Digital Scholarship Specialist"
"15168","35-44",226000,"11 - 20 years","College degree","Man","Media & Digital","Director of engineering"
"15169","45-54",90000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","HRBP"
"15170","45-54",142000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Product Manager"
"15171","35-44",115000,"11 - 20 years","Master's degree","Man","Nonprofits","Business Development Manager"
"15172","25-34",54900,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Marketing Coordinator"
"15173","25-34",93000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Financial Planner"
"15174","25-34",52000,"8 - 10 years","College degree","Woman","Education (Higher Education)","Development Associate"
"15175","25-34",40000,"2 - 4 years","Master's degree","Man","Education (Higher Education)","Digital Library Cataloger"
"15176","45-54",107000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Insurance","Assistant VP/Claims Manager"
"15177","25-34",58500,"1 year or less","Master's degree","Woman","Insurance","Data Analyst"
"15178","25-34",93600,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Associate Manager, Marketing"
"15179","35-44",168500,"21 - 30 years","College degree","Man","Computing or Tech","Head of Product"
"15180","45-54",160000,"21 - 30 years","College degree","Woman","Transport or Logistics","VP of Human Resources"
"15181","25-34",60000,"5-7 years","College degree","Woman","Nonprofits","Manager, Gift Processing and Data Management"
"15182","18-24",70000,"2 - 4 years","College degree","Man","Computing or Tech","Data and Reporting Analyst"
"15183","55-64",50830,"31 - 40 years","Master's degree","Woman","Nonprofits","Lead Advocate"
"15184","35-44",93000,"11 - 20 years","College degree","Woman","Computing or Tech","Threat Hunter"
"15185","25-34",46000,"11 - 20 years","College degree","Woman","Agriculture or Forestry","Accounting Specialist/Human Resource Coordinator"
"15186","35-44",65000,"11 - 20 years","College degree","Woman","Sales","Inside Sales Account Manager"
"15187","45-54",78000,"8 - 10 years","College degree","Woman","Recruitment or HR","HR Manager"
"15188","25-34",39500,"2 - 4 years","College degree","Woman","Social Work","Homeless Outreach Worker"
"15189","35-44",88000,"11 - 20 years","College degree","Man","Computing or Tech","Web Developer"
"15190","45-54",145000,"11 - 20 years","College degree","Woman","Property or Construction","Senior Project Manager"
"15191","45-54",110000,"21 - 30 years","College degree","Man","Recruitment or HR","IT Manager"
"15192","35-44",165000,"11 - 20 years","College degree","Man","Computing or Tech","Software Engineer"
"15193","35-44",48701,"8 - 10 years","College degree","Woman","Education (Higher Education)","Human Resources Generalist"
"15194","25-34",125000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney"
"15195","35-44",62400,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Academic Support Specialist"
"15196","45-54",189000,"21 - 30 years","College degree","Woman","Computing or Tech","Tech Staff 4 - Architect"
"15197","35-44",75000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Sr Payroll Specialist"
"15198","45-54",120000,"31 - 40 years","College degree","Man","Retail","senior mobile developer"
"15199","35-44",97000,"21 - 30 years","College degree","Man","Media & Digital","Internet Marketing Manager"
"15200","35-44",210000,"11 - 20 years","Master's degree","Man","Computing or Tech","Senior Solutions Architect"
"15201","35-44",101000,"11 - 20 years","College degree","Man","Computing or Tech","Senior Developer"
"15202","35-44",150000,"11 - 20 years","College degree","Man","Nonprofits","Senior Director of Digital Marketing"
"15203","18-24",24000,"1 year or less","High School","Man","Property or Construction","Carpenter"
"15204","25-34",34000,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Humanities graduate student"
"15205","25-34",110000,"2 - 4 years","College degree","Man","Computing or Tech","R&D Engineer"
"15206","25-34",80000,"11 - 20 years","College degree","Woman","Computing or Tech","Developer"
"15207","35-44",60000,"8 - 10 years","College degree","Woman","Recruitment or HR","Human Resources Generalist"
"15208","25-34",39000,"5-7 years","Master's degree","Woman","Libraries and Archives","Processing Coordinator"
"15209","35-44",135000,"11 - 20 years","College degree","Man","Computing or Tech","Software Senior Engineer"
"15210","35-44",108000,"11 - 20 years","College degree","Man","Marketing, Advertising & PR","Senior Strategist"
"15211","25-34",58000,"11 - 20 years","High School","Man","Property or Construction","Landscape project manager"
"15212","25-34",90456,"5-7 years","PhD","Woman","Communication Research","Senior Researcher"
"15213","25-34",117500,"5-7 years","College degree","Man","Art & Design","Associate creative director"
"15214","25-34",117500,"5-7 years","College degree","Man","Art & Design","Associate creative director"
"15215","35-44",4e+05,"11 - 20 years","Master's degree","Man","Computing or Tech","Senior Software Engineer"
"15216","45-54",158700,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Law","Commercial Counsel"
"15217","35-44",138490,"11 - 20 years","High School","Man","Computing or Tech","Product Manager"
"15218","25-34",57500,"5-7 years","College degree","Woman","Computing or Tech","Associate Product Manager"
"15219","35-44",250000,"8 - 10 years","Master's degree","Man","Accounting, Banking & Finance","Software Engineer"
"15220","25-34",92000,"11 - 20 years","Master's degree","Man","Government and Public Administration","Policy Specialist"
"15221","25-34",85000,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Copywriter"
"15222","25-34",192000,"5-7 years","College degree","Man","Computing or Tech","Senior Software Engineer, Devops"
"15223","25-34",120000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Software Engineer II"
"15224","45-54",40,"11 - 20 years","College degree","Woman","Human Resources","HR Administrator/Generalist"
"15225","35-44",129000,"8 - 10 years","College degree","Man","Computing or Tech","Software Engineer"
"15226","18-24",118000,"2 - 4 years","College degree","Woman","Computing or Tech","Software engineer"
"15227","25-34",76000,"5-7 years","College degree","Woman","Media & Digital","Creative Manager"
"15228","18-24",118000,"2 - 4 years","College degree","Woman","Computing or Tech","Software engineer"
"15229","35-44",43829,"8 - 10 years","College degree","Woman","Education (Higher Education)","Human Resources Representative"
"15230","45-54",120000,"21 - 30 years","Master's degree","Man","Recruitment or HR","Director of Human Resources"
"15231","45-54",65000,"21 - 30 years","College degree","Woman","Nonprofits","Senior HR Generalist"
"15232","25-34",50000,"11 - 20 years","College degree","Woman","Utilities & Telecommunications","Marketing Coordinator"
"15233","45-54",81200,"11 - 20 years","PhD","Woman","Education (Higher Education)","Associate Professor of Instruction"
"15234","35-44",185000,"11 - 20 years","College degree","Man","Computing or Tech","Engineering Manager, DevOps"
"15235","35-44",108000,"11 - 20 years","College degree","Woman","Media & Digital","Deputy Editor"
"15236","35-44",1000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Teaching practicum supervisor"
"15237","25-34",125760,"8 - 10 years","Master's degree","Woman","Pharma & Biotech","Clinical Operations Associate Director"
"15238","35-44",59751,"11 - 20 years","PhD","Woman","Education (Higher Education)","Associate Professor"
"15239","35-44",61000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Archivist"
"15240","35-44",154000,"11 - 20 years","College degree","Woman","Computing or Tech","Director of DevOps Engineering"
"15241","25-34",115000,"2 - 4 years","College degree","Man","Engineering or Manufacturing","Robotics Software Engineer"
"15242","35-44",127000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Director"
"15243","35-44",51500,"11 - 20 years","Master's degree","Woman","Health care","Operations supervisor"
"15244","25-34",85000,"2 - 4 years","College degree","Woman","Computing or Tech","Software Engineer II"
"15245","45-54",60000,"21 - 30 years","College degree","Woman","Education (Higher Education)","Finance Specialist"
"15246","55-64",2e+05,"21 - 30 years","PhD","Man","Computing or Tech","Manager Software Development"
"15247","35-44",190000,"21 - 30 years","College degree","Man","Computing or Tech","Systems Architect"
"15248","55-64",50000,"41 years or more","College degree","Woman","Health care","Data Analyst"
"15249","25-34",90000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Associate Director of Alumni Relations"
"15250","35-44",66560,"11 - 20 years","College degree","Woman","Nonprofits","Energy General Manager"
"15251","35-44",51028,"11 - 20 years","College degree","Woman","Business or Consulting","HR Senior Specialist"
"15252","45-54",140000,"21 - 30 years","College degree","Man","Media & Digital","Senior Director of Education"
"15253","25-34",76000,"5-7 years","College degree","Woman","Health care","Registered Nurse"
"15254","18-24",58000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","HR Generalist"
"15255","35-44",86500,"11 - 20 years","College degree","Man","Computing or Tech","Senior QA Engineer"
"15256","35-44",117000,"11 - 20 years","College degree","Woman","Retail","Product Copy Manager, Marketing"
"15257","35-44",87000,"11 - 20 years","College degree","Woman","Law","Knowledge and Innovation Manager"
"15258","25-34",140000,"5-7 years","Master's degree","Woman","Computing or Tech","Senior Software Engineer"
"15259","45-54",140000,"21 - 30 years","College degree","Man","Media & Digital","Senior Director of Education"
"15260","25-34",52000,"8 - 10 years","College degree","Woman","Health care","HR manager"
"15261","35-44",184000,"11 - 20 years","College degree","Man","Computing or Tech","Product manager"
"15262","25-34",110000,"11 - 20 years","College degree","Woman","Media & Digital","UX Designer"
"15263","35-44",207000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Executive director"
"15264","25-34",39000,"5-7 years","College degree","Woman","Media & Digital","Videomaker"
"15265","25-34",126000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","General Manager"
"15266","35-44",165000,"11 - 20 years","College degree","Man","Computing or Tech","Senior Software Engineer"
"15267","25-34",65000,"2 - 4 years","College degree","Woman","Art & Design","Graphic Designer"
"15268","18-24",45000,"2 - 4 years","College degree","Woman","Church","Communications Coordinator"
"15269","25-34",63000,"8 - 10 years","College degree","Man","Government and Public Administration","Digital Director"
"15270","25-34",82000,"2 - 4 years","PhD","Woman","Engineering or Manufacturing","Scientist 1"
"15271","35-44",86000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Associate Director, Arts Library"
"15272","25-34",85000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Senior Manager, Learning and Development"
"15273","45-54",188000,"21 - 30 years","College degree","Man","Computing or Tech","Director"
"15274","25-34",60000,"8 - 10 years","PhD","Man","Education (Higher Education)","Assistant Professor"
"15275","35-44",131000,"11 - 20 years","College degree","Man","Computing or Tech","Senior DevOps Engineer"
"15276","25-34",46280,"8 - 10 years","College degree","Woman","Law","Case Manager"
"15277","35-44",115000,"8 - 10 years","PhD","Woman","Agriculture or Forestry","Quality control regional manager Americas"
"15278","35-44",92000,"11 - 20 years","College degree","Woman","Nonprofits","HR Manager"
"15279","35-44",54062,"11 - 20 years","College degree","Woman","Transport or Logistics","HR Business Partner"
"15280","25-34",38500,"2 - 4 years","Master's degree","Man","Education (Higher Education)","Career Advisor"
"15281","35-44",270000,"21 - 30 years","College degree","Man","Computing or Tech","Software Team Lead"
"15282","35-44",110000,"21 - 30 years","College degree","Man","Computing or Tech","Senior Front End Web Developer"
"15283","35-44",165000,"11 - 20 years","College degree","Man","Computing or Tech","Product Manager"
"15284","18-24",57500,"1 year or less","College degree","Woman","Accounting, Banking & Finance","Pricing associate"
"15285","35-44",193000,"21 - 30 years","College degree","Man","Computing or Tech","Software Architect"
"15286","55-64",48000,"31 - 40 years","College degree","Woman","Education (Higher Education)","Accounts Receivable Associate"
"15287","35-44",34000,"11 - 20 years","College degree","Woman","Health care","Pharmacy Technician"
"15288","25-34",56000,"8 - 10 years","College degree","Woman","Education (Primary/Secondary)","Director of Finance and Operations"
"15289","25-34",120000,"8 - 10 years","College degree","Man","Computing or Tech","Senior Software Developer"
"15290","35-44",92000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","IT Specialist"
"15291","35-44",102500,"11 - 20 years","Master's degree","Man","Computing or Tech","DevOps Engineer"
"15292","45-54",147000,"21 - 30 years","College degree","Woman","Computing or Tech","Director, Product Management"
"15293","35-44",80000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Human Resources Compliance Advisor"
"15294","25-34",68000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Content Specialist"
"15295","25-34",49757,"11 - 20 years","College degree","Woman","Recruitment or HR","HR Generalist"
"15296","25-34",155000,"5-7 years","Master's degree","Man","Computing or Tech","Software Engineer"
"15297","25-34",92000,"8 - 10 years","College degree","Woman","Media & Digital","Audio Editor"
"15298","35-44",180000,"11 - 20 years","High School","Man","Computing or Tech","Senior Software Engineer"
"15299","25-34",57000,"11 - 20 years","College degree","Woman","Nonprofits","Professional Development Manager"
"15300","35-44",46000,"11 - 20 years","College degree","Man","Nonprofits","Project manager"
"15301","25-34",87200,"5-7 years","College degree","Woman","Retail","Sustainability Manager"
"15302","45-54",140000,"11 - 20 years","College degree","Man","Accounting, Banking & Finance","Senior Frontend Developer"
"15303","55-64",52000,"21 - 30 years","College degree","Woman","Recruitment or HR","Regional HR Manager"
"15304","35-44",70000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Senior Engineering Technician"
"15305","25-34",150000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Director of Technology"
"15306","25-34",88500,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing manager"
"15307","25-34",47000,"5-7 years","College degree","Woman","Insurance","Administrative Associate"
"15308","25-34",95000,"11 - 20 years","College degree","Woman","Recruitment or HR","Corporate hr manager"
"15309","18-24",28080,"5-7 years","College degree","Man","Social Work","Direct Support Professional"
"15310","35-44",230000,"11 - 20 years","College degree","Man","Computing or Tech","Staff Engineer"
"15311","35-44",140000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Engineering manager"
"15312","25-34",47000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Assistant Director of Admission"
"15313","45-54",105000,"11 - 20 years","College degree","Woman","Hospitality & Events","HR Director"
"15314","25-34",48809,"8 - 10 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"15315","25-34",107500,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Strategy Director"
"15316","45-54",33280,"8 - 10 years","College degree","Woman","Nonprofits","Development associate"
"15317","35-44",150000,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Law","Senior Counsel"
"15318","18-24",63000,"1 year or less","College degree","Woman","Art & Design","UX Designer"
"15319","35-44",101291,"11 - 20 years","Master's degree","Woman","Computing or Tech","Product Manager"
"15320","25-34",115000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Law","Counsel"
"15321","25-34",44325,"5-7 years","College degree","Man","Health care","Patient Services Coordinator II"
"15322","35-44",140384,"11 - 20 years","College degree","Woman","Insurance","Executive underwriter"
"15323","35-44",145000,"11 - 20 years","College degree","Woman","Recruitment or HR","VP of Human Resources"
"15324","25-34",60000,"5-7 years","Master's degree","Woman","Nonprofits","College Success"
"15325","25-34",53000,"2 - 4 years","College degree","Woman","Nonprofits","Development Associate"
"15326","35-44",1e+05,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Marketing and Communications Associate"
"15327","25-34",154000,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Director, External Communications "
"15328","45-54",66310,"21 - 30 years","College degree","Woman","Nonprofits","Assistant Director, Benefits"
"15329","35-44",177000,"21 - 30 years","College degree","Woman","Entertainment","Senior Director"
"15330","45-54",206000,"21 - 30 years","College degree","Man","Entertainment","Engineering Manager"
"15331","35-44",170000,"11 - 20 years","College degree","Man","Computing or Tech","Senior Software Engineer"
"15332","25-34",98500,"11 - 20 years","College degree","Man","Computing or Tech","Software Developer"
"15333","25-34",62000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Senior Account Executive"
"15334","35-44",131000,"21 - 30 years","College degree","Woman","Computing or Tech","IT Systems Analyst"
"15335","35-44",40900,"21 - 30 years","College degree","Woman","Education (Higher Education)","Academic Services Coord"
"15336","25-34",68000,"5-7 years","College degree","Woman","","Campaign and Program Manager"
"15337","35-44",60500,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Assistant Director"
"15338","45-54",110000,"11 - 20 years","College degree","Woman","Computing or Tech","Product Owner / Project Manager"
"15339","35-44",157000,"11 - 20 years","College degree","Man","Computing or Tech","Software Architect"
"15340","45-54",188800,"21 - 30 years","PhD","Man","Biotech","Scientist II"
"15341","25-34",35000,"2 - 4 years","College degree","Man","Nonprofits","Conservation program assistant"
"15342","25-34",65000,"11 - 20 years","College degree","Woman","Insurance","Senior Underwriter"
"15343","35-44",80780,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Senior Web Engineer"
